8	month	time
10000	1	92.69796296296296
10000	2	79.40663194444446
10000	3	6.736527777777779
10000	4	0.8078073286052009
10000	5	7.105197428833793
10000	6	31.024321378340368
10000	7	48.55131313131313
10000	8	69.23837962962963
10000	9	28.875324074074072
10001	1	196.24041907728827
10001	2	258.59770712909443
10001	3	141.61138362794614
10001	4	58.22143111518111
10001	5	57.69396264908977
10001	6	56.22385224447062
10001	7	50.38285819337698
10001	8	50.6846169497523
10001	9	18.69497258127693
10002	1	157.0043048348571
10002	2	157.40817330016586
10002	3	150.39969241300125
10002	4	92.930243955095
10002	5	56.6648213071168
10002	6	62.59021348105638
10002	7	74.3346062255723
10002	8	55.27854374026678
10002	9	23.107216971544712
10003	1	176.38697872434537
10003	2	188.39110620611316
10003	3	205.00697983184335
10003	4	82.2141206244664
10003	5	60.448189215386186
10003	6	87.4554720153114
10003	7	116.89800964378
10003	8	80.50811391784728
10003	9	30.795064970089243
10004	1	60.83554882737409
10004	2	116.80856550580432
10004	3	175.87732055063913
10004	4	142.40015624999998
10004	5	64.74443406022846
10004	6	55.0547653256705
10004	7	103.46902287581699
10004	8	83.74068181818181
10004	9	38.7775582437276
10005	1	63.470904605263165
10005	2	87.25359241452992
10005	3	222.3372810218978
10005	4	35.7907283197832
10005	5	133.5454096045198
10005	6	70.24739923747276
10005	7	82.86349910394264
10005	8	58.25532505910166
10005	9	20.541736736736738
10006	1	131.28956304619226
10006	2	112.74118253968254
10006	3	262.8789030131827
10006	4	57.074050387596905
10006	5	71.13775793650794
10006	6	87.44265729585007
10006	7	93.38681341719077
10006	8	66.02162326388888
10006	9	35.10999614197531
10007	1	116.60944878472223
10007	2	137.01974537037037
10007	3	99.86189876543209
10007	4	94.9015101010101
10007	5	44.69583190148912
10007	6	125.12608168549906
10007	7	98.75827949438202
10007	8	78.20197463768116
10007	9	34.563245294474804
10009	1	140.41539651837525
10009	2	124.44796531854752
10009	3	189.79352084972462
10009	4	54.20878117913832
10009	5	35.2912663723326
10009	6	48.887474875950005
10009	7	88.10785724606271
10009	8	54.01951913543526
10009	9	21.138944266524334
10010	1	278.13703101030023
10010	2	198.11889895759302
10010	3	94.44451668530948
10010	4	61.84257020091988
10010	5	73.4847701486698
10010	6	55.49011177136389
10010	7	141.0691158234127
10010	8	60.4439253647587
10010	9	30.696140740740738
10011	1	185.7942157035471
10011	2	204.50648999999999
10011	3	180.68247991557735
10011	4	86.35428497139885
10011	5	82.50067080045096
10011	6	105.20455164813144
10011	7	118.70480292588562
10011	8	66.06862127735917
10011	9	30.509944444444447
10012	1	176.29371712962964
10012	2	171.04258469945356
10012	3	241.1930424903431
10012	4	65.31367728531856
10012	5	116.54994889267464
10012	6	87.88528918214402
10012	7	166.08665820868947
10012	8	80.82150165016502
10012	9	29.321986404833837
10013	1	132.29491398358584
10013	2	124.78300144853443
10013	3	167.6353755144033
10013	4	88.80223734873486
10013	5	43.085440596846844
10013	6	89.9233231599434
10013	7	85.13025191455058
10013	8	65.68122401937802
10013	9	29.52582070707071
10014	1	180.9893143888137
10014	2	131.60418977979492
10014	3	283.5113163452709
10014	4	83.8315362962963
10014	5	57.14067200388162
10014	6	99.27291028845153
10014	7	157.43209234077173
10014	8	66.72286676140209
10014	9	32.72805186660764
10016	1	126.88223256635382
10016	2	190.73201755651758
10016	3	144.53628070175438
10016	4	85.91612460638777
10016	5	56.63350926850927
10016	6	112.59062093047679
10016	7	109.14384885378962
10016	8	134.3410734299517
10016	9	62.50459350221399
10017	1	304.55148903508774
10017	2	310.83653708668453
10017	3	288.85150041305246
10017	4	68.41254247015611
10017	5	44.15547839506173
10017	6	75.5207365466512
10017	7	106.82646599070553
10017	8	92.03751543209877
10017	9	23.897989356178606
10018	1	187.89805476641413
10018	2	313.7573168789809
10018	3	270.81289824771005
10018	4	54.303346624136104
10018	5	64.03141754850088
10018	6	53.578212560386476
10018	7	98.46929512258737
10018	8	50.50435305658819
10018	9	12.891698047419805
10019	1	147.54384284284285
10019	2	173.97530588299497
10019	3	179.07360494841598
10019	4	69.93886711711713
10019	5	41.38621861025112
10019	6	74.35251443606221
10019	7	101.45258371385084
10019	8	46.409339988206554
10019	9	18.62847450264964
10020	1	498.50425925925924
10020	2	145.6326
10020	3	202.4851495726496
10020	4	0.25125000000000003
10020	5	0.24152777777777779
10020	6	62.391507936507935
10020	7	118.5054365079365
10020	8	15.510173611111112
10020	9	11.679242424242425
10021	1	150.93691160372194
10021	2	165.2163507625272
10021	3	278.16983091787444
10021	4	122.94068121693121
10021	5	121.07348986794172
10021	6	135.71093446824088
10021	7	187.3317900516796
10021	8	86.63353023909987
10021	9	47.275321969696975
10022	1	177.42488235820363
10022	2	230.23982771970577
10022	3	180.42007164669957
10022	4	139.84142962962963
10022	5	99.67956883087908
10022	6	102.86892101621194
10022	7	117.84702747909199
10022	8	88.10912257495592
10022	9	30.578698229077407
10023	1	146.8310823092678
10023	2	137.32283317836666
10023	3	168.62155458742924
10023	4	87.57291182733256
10023	5	42.613393055555555
10023	6	70.724571616048
10023	7	105.65476211903048
10023	8	59.2534719241774
10023	9	21.001205833709218
10024	1	134.13219739455545
10024	2	160.48564969931272
10024	3	201.70810329218105
10024	4	122.93778224365845
10024	5	78.4703725824801
10024	6	102.29479622745423
10024	7	76.86057526881721
10024	8	64.91763589666866
10024	9	26.657579545454546
10025	1	133.1974918688467
10025	2	182.94794780112863
10025	3	213.81592446283756
10025	4	130.9303932409628
10025	5	65.01603659368394
10025	6	82.93490583371613
10025	7	98.49967291045834
10025	8	65.42783493077742
10025	9	24.682210366965784
10026	1	140.80777178257395
10026	2	114.63610387522111
10026	3	186.15028546220398
10026	4	109.77198443223443
10026	5	89.55718370522162
10026	6	41.974283284385706
10026	7	67.11455003050641
10026	8	46.819671176840785
10026	9	11.2620883470551
10027	1	130.5074756097561
10027	2	126.74357121879589
10027	3	222.2244550855724
10027	4	115.52162984248616
10027	5	68.79811863779382
10027	6	83.68472172729523
10027	7	91.21391588117682
10027	8	65.84921583459405
10027	9	23.55584486598266
10028	1	130.7600530818388
10028	2	132.71806539351851
10028	3	178.4673706577975
10028	4	64.11496929327286
10028	5	61.82052828513445
10028	6	91.23148600554953
10028	7	153.99124109901922
10028	8	67.60317634363687
10028	9	21.895337390296405
10029	1	106.31163852498788
10029	2	137.2996987982483
10029	3	161.7538333786478
10029	4	127.38508748741188
10029	5	91.65581391954225
10029	6	50.31293005671078
10029	7	87.45833067401605
10029	8	50.26782016836826
10029	9	19.43533099191145
10030	1	131.91671855493132
10030	2	90.97579535054
10030	3	361.33745535714286
10030	4	124.47408730158732
10030	5	126.2340044271677
10030	6	59.14168005983441
10030	7	121.41193724382408
10030	8	73.35901490066226
10030	9	32.25367611434108
10031	1	96.06435391951618
10031	2	102.31094095288606
10031	3	259.13915278703087
10031	4	157.50472686013387
10031	5	75.48078877244839
10031	6	67.66563076640062
10031	7	67.10813490935506
10031	8	57.90675853407698
10031	9	17.319060174240434
10032	1	134.0163530027933
10032	2	185.6503151997263
10032	3	207.3367871315193
10032	4	152.4236463276836
10032	5	83.84075989006038
10032	6	50.96848309333714
10032	7	39.66824441336836
10032	8	34.59693817368314
10032	9	17.74136152721037
10033	1	133.6219406935067
10033	2	146.92023120138288
10033	3	247.1015511639532
